排名,学校名称,国家,总分
729,印度理工学院-马德拉斯,印度,-
730,伊斯坦布尔大学-塞拉帕萨,土耳其,-
731,全北国立大学,韩国,-
732,江西师范大学,中国,-
733,江原大学,韩国,-
734,肯特州立大学,美国,-
735,近畿大学,日本,-
736,法赫德国王石油矿产大学,沙特阿拉伯,-
737,北里大学,日本,-
738,科克大学（土耳其）,土耳其,-
739,吕勒奥理工大学,瑞典,-
740,纽芬兰纪念大学,加拿大,-
741,台湾科技大学,中国台湾,-
742,马来西亚国立大学,马来西亚,-
743,诺森比亚大学,英国,-
744,西北大学（波切斯卓姆）,南非,-
745,挪威生命科学大学,挪威,-
746,新里斯本大学,葡萄牙,-
747,俄克拉荷马州立大学,美国,-
748,帕拉茨基大学,捷克,-
749,巴黎东大学,法国,-
750,加泰罗尼亚理工大学,西班牙,-
751,罗宾阿卜杜勒阿齐兹王子大学,沙特阿拉伯,-
752,比萨高等师范学校,意大利,-
753,汕头大学,中国,-
754,山西医科大学,中国,-
755,信州大学,日本,-
756,南卫理公会大学,美国,-
757,西南财经大学,中国,-
758,斯里纳玛斯旺纪念大学,印度,-
759,斯德哥尔摩经济学院,瑞典,-
760,纽约州立大学卫生科学中心-布鲁克林,美国,-
761,苏州科技大学,中国,-
762,斯旺西大学,英国,-
763,塔比阿特莫达勒斯大学,伊朗,-
764,阿拉巴马大学,美国,-
765,德克萨斯大学-阿灵顿,美国,-
766,德克萨斯大学-圣安东尼奥,美国,-
767,怀卡托大学,新西兰,-
768,天津工业大学,中国,-
769,天津理工大学,中国,-
770,蒂尔堡大学,荷兰,-
771,阿拉伯联合酋长国大学,阿联酋,-
772,纽约州立大学-奥尔巴尼,美国,-
773,阿尔卡拉大学,西班牙,-
774,巴西利亚大学,巴西,-
775,卡拉布里亚大学,意大利,-
776,坎塔布里亚大学,西班牙,-
777,克莱蒙-奥弗涅大学,法国,-
778,埃斯特雷马杜拉大学,西班牙,-
779,格林威治大学,英国,-
780,济南大学,中国,-
781,于韦斯屈莱大学,芬兰,-
782,拉拉古纳大学,西班牙,-
783,利默里克大学,爱尔兰,-
784,曼海姆大学,德国,-
785,马里兰大学-巴尔的摩县,美国,-
786,巴勒莫大学（意大利）,意大利,-
787,普利茅斯大学,英国,-
